"","Topk","Type","Accuracy"
"1","Top-1","One-stop shop data",0.800267584097859
"2","Top-2","One-stop shop data",0.88105249745158
"3","Top-3","One-stop shop data",0.913735983690112
"4","Top-4","One-stop shop data",0.930300713557594
"5","Top-5","One-stop shop data",0.944062181447503
"6","Top-1","Test data",0.88845361778173
"7","Top-2","Test data",0.935706248519925
"8","Top-3","Test data",0.953394748752767
"9","Top-4","Test data",0.962853215341493
"10","Top-5","Test data",0.968737549271605
